,r,Hx,CHx,Ne,Ve,Na,Va,PiEgoGalter,PiEgoGalters
124,5,13.350248,10.810239,23943,5690,30628,5215,0.0,0.18953174099298417
125,6,13.170098999999999,10.775542999999999,23943,5690,23700,3826,0.0,0.19287006153797764
126,7,13.220868,10.695162,23943,5690,30563,5006,0.0,0.20056637056403329
127,8,13.240166,10.666931,23943,5690,34715,5247,0.0,0.20325731126240423
128,9,13.084397000000001,10.658752,23943,5690,20891,3674,0.0,0.20403577306737153
129,10,8.412180000000001,7.902575,23943,5690,33069,6962,0.4036257677036203,0.44596449785206055
130,11,13.080428999999999,7.899744,23943,5690,20585,7427,0.0,0.44619727992601943
131,12,13.120099,7.8957559999999996,23943,5690,24194,5008,0.0,0.4465251534681093
132,13,12.769342,7.893886999999999,23943,5690,14645,3328,0.0,0.44667879560684043
133,14,12.732615,7.890801,23943,5690,17212,3505,0.0,0.446932457089753
134,15,13.618653,7.881497,23943,5690,42197,3660,0.0,0.4476970358892078
135,1,10.157014,10.157014,28634,7118,32455,8948,0.27231296362543966,0.27231296362543966
136,2,13.495107,9.938847,28634,7118,31139,4900,0.0,0.29137116656492684
137,3,12.297309,9.672842,28634,7118,27546,4060,0.0666629906946204,0.3143147768836067
138,4,12.804269,9.566166,28634,7118,34893,5316,0.0,0.32343076951029126
139,5,12.542112,9.543986,28634,7118,14412,3018,0.038208789471311747,0.3253202791441105
140,6,13.004534,9.487449,28634,7118,40174,5288,0.0,0.33012765458022164
141,7,11.946203,9.484439,28634,7118,6210,1392,0.10415534469383356,0.3303832369557195
142,8,12.804293,9.403851,28634,7118,45243,8766,0.0,0.3372126994889004
143,9,13.026287,9.358099000000001,28634,7118,43941,6175,0.0,0.34107864515056036
144,10,12.571566,9.330314999999999,28634,7118,21063,8253,0.03455868397078568,0.34342238342797626
145,11,12.283889,9.292753,28634,7118,25967,7282,0.06815298105967546,0.34658625084978856
146,12,12.469135000000001,9.273341,28634,7118,22067,4030,0.04699655041335121,0.34821923095377977
147,13,14.346748000000002,9.268706,28634,7118,32128,6199,0.0,0.34860892648067265
148,14,11.138836,9.265292,28634,7118,4746,3162,0.1832775268244726,0.3488959124823296
149,15,8.943396,8.517444,28634,7118,15958,4284,0.37576240446042486,0.41075915548869935
150,1,14.519337,14.519337,27210,6008,26268,3850,0.0,0.0
151,2,13.277387,14.198201999999998,27210,6008,13005,1739,0.0,0.0
152,3,10.383473,11.538053999999999,27210,6008,8017,2123,0.23553090522349654,0.12385861911367936
153,4,14.205425,11.530077,27210,6008,21473,3873,0.0,0.124678000274973
154,5,10.973215,10.864569,27210,6008,20453,4746,0.17998589288503478,0.19041767489813488
