,r,Hx,CHx,Ne,Ve,Na,Va,PiEgoGalter,PiEgoGalters
81,7,9.63818,8.814664,17187,4063,32221,14540,0.2656825308999547,0.34201294453224884
82,8,9.662593,8.746201,17187,4063,29741,11767,0.2633602858172415,0.34820099393644843
83,9,9.728848,8.69115,17187,4063,24195,10364,0.25703849992502087,0.3531609020655127
84,10,8.705805999999999,8.690447,17187,4063,1250,831,0.35184181629707684,0.3532241493996467
85,11,9.551707,8.66733,17187,4063,12487,6207,0.27387795131721127,0.35530267055305637
86,12,9.408749,8.640168,17187,4063,16181,7537,0.2873270043476851,0.3577417706714155
87,13,8.935556,8.624029,17187,4063,5474,2915,0.3310313284258772,0.359189437684606
88,14,8.981636,8.616897999999999,17187,4063,3747,2249,0.32682667182383346,0.35982871264846744
89,15,9.481049,8.612683,17187,4063,9121,4739,0.28054044280422774,0.36020646819283214
90,1,11.65686,11.65686,23112,3950,31035,14373,0.047315837293632305,0.047315837293632305
91,2,12.998626,11.559614,23112,3950,23576,9478,0.0,0.059782600926663425
92,3,12.65536,11.53159,23112,3950,14046,6358,0.0,0.0632785461135115
93,4,8.37743,8.298719,23112,3950,24035,12598,0.37892508770328265,0.3859180153708764
94,5,13.238423999999998,8.278217,23112,3950,25818,10176,0.0,0.38773513963586187
95,6,9.602772,8.126339,23112,3950,28959,13855,0.26620904282084906,0.40114155232476795
96,7,8.313541,7.870753,23112,3950,15867,8618,0.38460320762080813,0.42349100856873834
97,8,11.364346000000001,7.822571000000001,23112,3950,26061,13367,0.08346721457327592,0.4276754307888545
98,9,9.738007000000001,7.769698,23112,3950,29483,13440,0.2532506584693248,0.4322569700875623
99,10,11.964357000000001,7.749298,23112,3950,31330,14031,0.0,0.4340218120583367
100,11,8.048903999999999,7.728766,23112,3950,1311,978,0.40794033083660886,0.43579647783098685
101,12,8.254723,7.647234,23112,3950,8971,5251,0.38981526643949455,0.4428279385998882
102,13,9.245138,7.621341,23112,3950,9939,6098,0.2999294200761616,0.44505579053338806
103,14,8.169182000000001,7.530596000000001,23112,3950,10574,6383,0.39736944072165026,0.45284396695613316
104,15,11.609914,7.51359,23112,3950,28392,12720,0.0534053016086153,0.4543001381466822
105,1,7.9936929999999995,7.9936929999999995,19735,4565,22631,11635,0.42327254199095493,0.42327254199095493
106,2,8.117981,7.603602,19735,4565,23324,10545,0.4126298593437479,0.4563120245149167
107,3,8.192326,7.398339,19735,4565,27888,12165,0.40623602150941085,0.47348429761640337
108,4,7.820708,7.3535070000000005,19735,4565,6191,3705,0.4379907301906793,0.47721603155415787
109,5,12.998864,7.353032000000001,19735,4565,8325,4142,0.0,0.4772555338258612
110,6,10.499773,7.307129,19735,4565,18100,7714,0.19477135868360218,0.48106941717293633
111,7,8.153789999999999,7.165911,19735,4565,30103,13898,0.40955282295887496,0.4927591191488823
112,8,13.854357,7.164116,19735,4565,22540,9177,0.0,0.4929072859797682
113,9,7.7640839999999995,7.129289999999999,19735,4565,6215,3961,0.44278513720758894,0.49577990305879177
114,10,8.044927000000001,7.024045,19735,4565,23761,12490,0.4188923789717631,0.5044372620493818
115,11,7.895558,6.929317999999999,19735,4565,22351,12024,0.4316355240263223,0.5121991674255216
116,12,8.075448,6.898534,19735,4565,13401,6435,0.41627840832817975,0.5147154826725561
117,13,7.858986,6.8911869999999995,19735,4565,3952,2360,0.43474321765464896,0.5153155924264138
118,14,7.940008,6.830085,19735,4565,19793,10775,0.4278518842438037,0.5202998928095591
119,15,13.070041999999999,6.830085,19735,4565,8651,4184,0.0,0.5202998928095591
120,1,10.236458,10.236458,23943,5690,31643,14350,0.2435834617713475,0.2435834617713475
121,2,14.352028,10.235194,23943,5690,21808,9147,0.0,0.24370007069037927
122,3,14.365792,10.227048,23943,5690,24614,10193,0.0,0.24445133561757992
123,4,15.116732999999998,10.226756,23943,5690,36157,13972,0.0,0.24447825776902907
124,5,15.087867999999999,10.226756,23943,5690,35116,13779,0.0,0.24447825776902907
125,6,14.772582,10.217153999999999,23943,5690,33126,13012,0.0,0.24536326362840313
126,7,14.84322,10.216248,23943,5690,30045,11955,0.0,0.24544673960895957
127,8,14.648069,10.214176,23943,5690,29682,11949,0.0,0.24563762835646108
128,9,14.764702,10.210419,23943,5690,33382,12914,0.0,0.2459836857717858
129,10,15.137567,10.210419,23943,5690,36078,13518,0.0,0.2459836857717858
130,11,14.569873999999999,10.203662,23943,5690,29841,12018,0.0,0.24660585755667253
131,12,9.476892,9.195921,23943,5690,30031,15290,0.3120582959212313,0.336672338905387
132,13,15.153660999999998,9.195921,23943,5690,36611,13853,0.0,0.336672338905387
133,14,9.874571000000001,9.192074,23943,5690,1553,1084,0.2765880770678077,0.33700695772674916
134,15,14.710045999999998,9.192074,23943,5690,29497,11786,0.0,0.33700695772674916
135,1,11.255984,11.255984,28634,7118,31884,13968,0.1722123142158966,0.1722123142158966
136,2,14.416647,11.2223,28634,7118,31428,12492,0.0,0.17540569715110987
137,3,10.060352,10.763047,28634,7118,6567,4261,0.2807849189033679,0.21806824258313745
138,4,10.392980999999999,9.977079,28634,7118,30120,15862,0.25143410917423864,0.28804758232187966
139,5,13.132910999999998,9.913532,28634,7118,28774,11451,0.0,0.293568163709221
140,6,10.39531,9.776325,28634,7118,12942,7207,0.25122657612657384,0.30542586786705406
141,7,11.260297,9.643912,28634,7118,32406,13499,0.17180271896069604,0.3167916613833625
142,8,10.868364,9.468191000000001,28634,7118,32585,15492,0.20841810326834737,0.33176224859093045
143,9,9.497952,9.449632000000001,28634,7118,2458,1812,0.32923554974892316,0.33333611773898747
144,10,14.747637,9.448553,28634,7118,34288,13064,0.0,0.3334275788137733
145,11,5.175805,9.448553,28634,7118,38,36,0.6672591265845809,0.3334275788137733
146,12,9.380447,9.446871,28634,7118,1038,784,0.33919130273153186,0.33357014380365035
147,13,8.619692,9.443689,28634,7118,533,438,0.4024134451325828,0.33383981703360244
148,14,12.152244,9.421479,28634,7118,19640,8580,0.08249785643357191,0.3357209943002452
149,15,14.098429000000001,9.411721,28634,7118,33365,12847,0.0,0.33654687979229453
150,1,11.153711999999999,11.153711999999999,27210,6008,30381,15695,0.16242187479024686,0.16242187479024686
151,2,14.200328,11.114088,27210,6008,27225,10744,0.0,0.16630414245873523
152,3,13.382735,11.018239999999999,27210,6008,31786,14346,0.0,0.17563281357687596
153,4,14.332235,11.005934,27210,6008,29662,11720,0.0,0.176824374432278
154,5,9.926641,9.522844000000001,27210,6008,28037,15322,0.2770085918093115,0.3127618417881229
155,6,13.730141,9.509291000000001,27210,6008,28835,12008,0.0,0.313948550456428
156,7,13.640495000000001,9.507572999999999,27210,6008,15225,6729,0.0,0.3140989205538864
157,8,14.498494,9.506425,27210,6008,26624,10713,0.0,0.31419939330272045
158,9,14.709531,9.504861,27210,6008,31892,12201,0.0,0.31433626477737264
159,10,14.198023000000001,9.500143,27210,6008,29240,11396,0.0,0.3147490881026351
160,11,13.166032999999999,9.475667,27210,6008,30486,13459,0.0,0.3168891322115026
161,12,13.713966000000001,9.463667,27210,6008,29979,12541,0.0,0.3179373705329104
162,13,14.208329999999998,9.459653,27210,6008,29932,11777,0.0,0.31828786374267964
163,14,10.480917,9.253067,27210,6008,29267,15163,0.22652288683581398,0.33623207985335746
164,15,12.750098,9.229061,27210,6008,29634,13730,0.0,0.3383055124538826
165,1,8.383389,8.383389,15897,4518,16393,8472,0.38891334167358615,0.38891334167358615
166,2,12.556471,8.266687,15897,4518,34205,12695,0.0,0.39904383380103065
167,3,8.336266,7.915113000000001,15897,4518,15045,8350,0.3930104093181002,0.42924627603485915
168,4,8.673351,7.684958,15897,4518,30811,12958,0.3635035840240944,0.4487718256077324
