,ID1,ID2,H1,H2,Hx1G2,Hx2G1,N1m2,N2m1,R2b1,R1b2,N1,N2,Nuniq1,Nuniq2,Ntweets1,Nfriends1,Nmentions1,Ntweets2,Nfriends2,Nmentions2,KL12,KL21,Pi1,Pi2,Pix1G2,Pix2G1
12796,173d8e63d3fec3193ac0cb8c21d5b13eabe7f39ed6c1cf76cafa3f81e7a31a78,beee44cf7683dda2dac92980642bb9e83c80d11d03b89143268c3d799884d092,6.7299440000000015,6.669598,11.393817,7.0240050000000025,18,0,7,0,27463,30345,5007,4467,2526,206,930,2816,144,1779,4.6638730000000015,0.354407000000001,0.5334872150710688,0.5321491900443238,0.1146955373407678,0.5031629391353015
12798,173d8e63d3fec3193ac0cb8c21d5b13eabe7f39ed6c1cf76cafa3f81e7a31a78,0725d4f7ce1dd48f9c1fa59e15fcb679295778335769daea4a285831b409fd6d,6.7299440000000015,6.6629309999999995,7.970239999999999,7.654615,14,0,9,0,27463,23777,5007,4261,2526,206,930,2198,733,2216,1.240295999999999,0.9916840000000002,0.5334872150710688,0.5300891491734544,0.4317292622478789,0.4473902168400711
12799,173d8e63d3fec3193ac0cb8c21d5b13eabe7f39ed6c1cf76cafa3f81e7a31a78,1e3248b40c0f457c184501b68d2c8a77783a369829d5f4f484a1d3bcee7edec4,6.7299440000000015,4.168316,7.512752000000001,9.189472,14,0,10,0,27463,7999,5007,1778,2526,206,930,732,55,501,0.7828080000000002,5.021156,0.5334872150710688,0.6959632154710409,0.4698393939261261,0.21899312177919456
12800,173d8e63d3fec3193ac0cb8c21d5b13eabe7f39ed6c1cf76cafa3f81e7a31a78,51f062bcf82bf5ee00a23e5a13cba011d533fec27307b02feb73635cb2e28674,6.7299440000000015,6.03857,7.335941,9.035497,14,0,11,0,27463,22112,5007,3355,2526,206,930,2479,159,1584,0.6059969999999995,2.9969269999999995,0.5334872150710688,0.5686183052065378,0.4843830556022857,0.304185300816602
12801,173d8e63d3fec3193ac0cb8c21d5b13eabe7f39ed6c1cf76cafa3f81e7a31a78,29ffda8cd9fac58a834fe04153d92943b261dbe42c609e8f619415883cf1f338,6.7299440000000015,6.806260000000001,7.223777,8.051171,13,0,12,0,27463,27752,5007,4999,2526,206,930,2324,139,1232,0.4938329999999995,1.2449109999999992,0.5334872150710688,0.5272772820475409,0.4935574394301474,0.4248008509604431
12802,173d8e63d3fec3193ac0cb8c21d5b13eabe7f39ed6c1cf76cafa3f81e7a31a78,3eccebf55eda7c03fb3142e86600f1fae79922d62de1a395e9a9df368b4f6a01,6.7299440000000015,6.389851999999999,8.157364999999999,7.974407000000001,13,0,13,0,27463,29165,5007,5422,2526,206,930,2645,1482,2561,1.4274209999999978,1.5845550000000015,0.5334872150710688,0.5645158109198217,0.4159333283374697,0.4368135669175796
12803,173d8e63d3fec3193ac0cb8c21d5b13eabe7f39ed6c1cf76cafa3f81e7a31a78,9b061196c12319df7b1bfc8ca0c79f21420abaf310e146dd2290e8a100b64276,6.7299440000000015,6.6032699999999975,6.965091999999999,8.712348,13,0,14,0,27463,5999,5007,1744,2526,206,930,572,50,345,0.2351479999999988,2.1090780000000007,0.5334872150710688,0.4794930807798839,0.5145667267286721,0.2688515634983902
12804,173d8e63d3fec3193ac0cb8c21d5b13eabe7f39ed6c1cf76cafa3f81e7a31a78,bdecf600aaa19c5cc629165927f6f06395dcfd2394ccea51089acbe4316f0e5d,6.7299440000000015,6.2361830000000005,10.878516000000001,7.5564339999999985,13,0,15,0,27463,28239,5007,4705,2526,206,930,2232,815,1983,4.1485720000000015,1.320250999999999,0.5334872150710688,0.5696423032983432,0.16794082115951034,0.4622353127664584
12805,b8e558b4ce7ccb3196ae5846ffe24226ba585ebe7c8f2dc068130eee7b30923e,5d7ea25f3b631bf3150fedf20b810e91e2a15110bb13d61af294dc14d7fdc92e,6.703622999999999,6.483351,7.203289999999999,7.261233,453,279,1,3,34654,25272,5815,3816,3126,115,2402,3063,144,3177,0.4996669999999997,0.777882,0.5434675996264969,0.5387515567548374,0.5039441461679247,0.4735643990878943
12806,b8e558b4ce7ccb3196ae5846ffe24226ba585ebe7c8f2dc068130eee7b30923e,cb5ba6c66341d0628a566261f5b50decf58d6b5d8f160a961ab173236fd1f38b,6.703622999999999,6.8703710000000004,7.7594520000000005,8.144608,272,210,2,1,34654,14490,5815,3649,3126,115,2402,1804,85,1919,1.055829000000001,1.2742369999999994,0.5434675996264969,0.5038900339488819,0.4590870377324609,0.3934162162919801
12807,b8e558b4ce7ccb3196ae5846ffe24226ba585ebe7c8f2dc068130eee7b30923e,6b7657491148950c2ee44441d547dc336e46488e1a29ed3c864d5e178e248e45,6.703622999999999,6.4542,9.06755,6.813314999999999,214,34,3,15,34654,30236,5815,3918,3126,115,2402,2354,118,1976,2.3639270000000008,0.3591149999999992,0.5434675996264969,0.5425893562919503,0.3495670463501198,0.5129002593175296
12808,b8e558b4ce7ccb3196ae5846ffe24226ba585ebe7c8f2dc068130eee7b30923e,cbb9041ac02473774f71df935572e79ec7b8bb33b3b3477a6f7325dca9478a43,6.703622999999999,6.605503,6.988882,7.858963,181,125,4,4,34654,30970,5815,5089,3126,115,2402,2891,93,1703,0.2852590000000008,1.2534600000000005,0.5434675996264969,0.5442847071449244,0.520991385151198,0.4421584144826882
12809,b8e558b4ce7ccb3196ae5846ffe24226ba585ebe7c8f2dc068130eee7b30923e,b6716bac82a109df96cf381f26cd7ebb3a03e6239100a4f44454651c02d9c533,6.703622999999999,6.792033999999999,8.16196,7.125244,130,63,5,2,34654,16572,5815,3852,3126,115,2402,1377,124,1056,1.4583370000000009,0.3332100000000011,0.5434675996264969,0.5136793277341427,0.4260192481648897,0.4857001808304843
12810,b8e558b4ce7ccb3196ae5846ffe24226ba585ebe7c8f2dc068130eee7b30923e,596513e16a0ecf93c559af44f71624ec60a35d966a11380e3a553bfa700cce54,6.703622999999999,6.854861,7.305825,8.157634,83,69,6,1,34654,12436,5815,3536,3126,115,2402,1134,123,574,0.6022020000000001,1.3027730000000002,0.5434675996264969,0.5032962813683953,0.4957442431724329,0.3897789517486257
12811,b8e558b4ce7ccb3196ae5846ffe24226ba585ebe7c8f2dc068130eee7b30923e,18c7f75f12bf87f8e238bd5b10fd68a159e94c5786fb65938a29ea9f6ccfa3a9,6.703622999999999,6.717555,8.660144,7.3408050000000005,80,58,7,13,34654,24848,5815,4042,3126,115,2402,2852,150,2688,1.9565210000000013,0.6232500000000005,0.5434675996264969,0.5226379692577684,0.3843339195335208,0.4705301011730399
12812,b8e558b4ce7ccb3196ae5846ffe24226ba585ebe7c8f2dc068130eee7b30923e,ab452e571d6b4af9cf0960fb622a5dc89c9548984ef7c81ea6e3f52d34b08767,6.703622999999999,6.174183,6.6339820000000005,7.401586999999999,58,18,8,1,34654,400,5815,254,3126,115,2402,34,9,30,-0.06964099999999895,1.227403999999999,0.5434675996264969,0.34275930108684755,0.5489199509683899,0.14886699346855242
12813,b8e558b4ce7ccb3196ae5846ffe24226ba585ebe7c8f2dc068130eee7b30923e,cde80891045baa33c6016f4ba6b7481c90a81273b11da019508345dc4aa215d0,6.703622999999999,6.8918479999999995,8.945284,7.3519770000000015,56,12,9,31,34654,32430,5815,5658,3126,115,2402,2509,203,1723,2.241661,0.4601290000000011,0.5434675996264969,0.5271886399463609,0.36006860693415593,0.4904273703771469
12814,b8e558b4ce7ccb3196ae5846ffe24226ba585ebe7c8f2dc068130eee7b30923e,c99e51f475a1028dab1d64001de47255285aad64f293b0ef6af483cfe6315c08,6.703622999999999,6.505725,7.967138999999999,7.1230649999999995,33,21,10,7,34654,12435,5815,2797,3126,115,2402,1275,101,713,1.263516,0.6173399999999996,0.5434675996264969,0.5190236719262876,0.4420902783775464,0.4648836998655467
12815,b8e558b4ce7ccb3196ae5846ffe24226ba585ebe7c8f2dc068130eee7b30923e,5441257e7966bb4608059173d9ef2cd2295db25ff51a8616f5a9b990e5618c1a,6.703622999999999,5.757272,6.6635539999999995,9.720562,32,9,11,5,34654,2314,5815,807,3126,115,2402,195,51,221,-0.04006899999999991,3.963289999999999,0.5434675996264969,0.5072395048592745,0.5466063469168588,0.0
12816,b8e558b4ce7ccb3196ae5846ffe24226ba585ebe7c8f2dc068130eee7b30923e,e5a889d294f0016d4105ae2598435895fe66ddf23a78f5cdac570d1e2a770710,6.703622999999999,6.645005,9.012779,7.1895570000000015,27,17,12,15,34654,25341,5815,4782,3126,115,2402,1962,96,1111,2.3091560000000007,0.5445520000000004,0.5434675996264969,0.5378308311677451,0.3542787726951124,0.4936082860371763
12817,b8e558b4ce7ccb3196ae5846ffe24226ba585ebe7c8f2dc068130eee7b30923e,54574b0ec90a81b52f95bdbcf28a3baabcd09ee79914c4c01b9f884ae2cca826,6.703622999999999,6.459233,7.620151,7.627076,21,13,13,11,34654,9148,5815,2214,3126,115,2402,1149,131,727,0.9165280000000005,1.1678429999999995,0.5434675996264969,0.5086793860550682,0.4704109021311071,0.4010396285750891
12818,b8e558b4ce7ccb3196ae5846ffe24226ba585ebe7c8f2dc068130eee7b30923e,04c764f52f56f6b0fc6a9ff2cc9f51ad5046be7759dcdc85c032ca0c6a251426,6.703622999999999,6.783136,10.720636,7.4932,17,8,14,13,34654,9373,5815,2433,3126,115,2402,972,165,531,4.017013000000001,0.710064,0.5434675996264969,0.4857969943556727,0.20052764959707545,0.4211174050704998
12820,95b2565b72b94336be0bfac3a3b4240defb2de713e95149d1ca97c78b8b5cb21,e3a2c960db705991f62867ea5e33b33c90a7948f4788f5c9ad6f9ffd82b3f1c9,6.5818330000000005,6.919728,7.539322999999999,7.704725999999999,212,182,1,4,34388,26685,7538,7598,2803,206,3812,2636,223,2609,0.9574899999999992,0.784997999999999,0.5656519111310596,0.5404273865595516,0.492266305429948,0.4798082901070986
12821,95b2565b72b94336be0bfac3a3b4240defb2de713e95149d1ca97c78b8b5cb21,666dd3df387dc3f22c31cfc51c32fac88bc93175c7bec890a7b62f433f1266ff,6.5818330000000005,6.966261,8.338592,9.091428,103,147,2,3,34388,37312,7538,7974,2803,206,3812,3061,458,2478,1.7567589999999995,2.1251670000000003,0.5656519111310596,0.5393278867557642,0.4290934273602192,0.3720177742487109
12825,95b2565b72b94336be0bfac3a3b4240defb2de713e95149d1ca97c78b8b5cb21,1f1a46209736deb280a3174a73b7d4ffec62075b8b4cdd792b02c0d9f9e4ad2e,6.5818330000000005,6.4016730000000015,10.396807,9.037189,13,13,6,34,34388,20512,7538,5487,2803,206,3812,2296,256,2152,3.814974,2.635515999999999,0.5656519111310596,0.5641771941103446,0.2565638393669866,0.3474722597666997
12828,95b2565b72b94336be0bfac3a3b4240defb2de713e95149d1ca97c78b8b5cb21,c1c8ce30edd61ef7264ccb323bfe7b42ee8f583bc06ccf927881d26b670e24c6,6.5818330000000005,2.847674,11.747050999999999,7.941994,5,0,9,0,34388,43427,7538,5404,2803,206,3812,3082,92,192,5.1652179999999985,5.09432,0.5656519111310596,0.82440289513859,0.13155621373997242,0.4392811913194896
12830,95b2565b72b94336be0bfac3a3b4240defb2de713e95149d1ca97c78b8b5cb21,e88ca6706e10e20d209f7e5a0ebc6fc703ffae4de9e2a0f5c374be8bbbe130d2,6.5818330000000005,6.413796,7.218885,6.330213,4,498,11,2,34388,31349,7538,6916,2803,206,3812,2805,207,3102,0.6370519999999997,-0.08358299999999996,0.5656519111310596,0.5743180623694503,0.5170933975461183,0.580647093672583
12831,95b2565b72b94336be0bfac3a3b4240defb2de713e95149d1ca97c78b8b5cb21,cdf1bac911daa83442861a275cf812326847a8d828d458909f280bfc76d97ef8,6.5818330000000005,6.25001,8.714663,8.98448,3,106,12,9,34388,27601,7538,6685,2803,206,3812,2432,196,2669,2.13283,2.73447,0.5656519111310596,0.5851694635097153,0.3987106270926628,0.3675932529725329
12832,95b2565b72b94336be0bfac3a3b4240defb2de713e95149d1ca97c78b8b5cb21,038f0ba5652aa03599bc8d27fc3984f1a330e6b532e0645c4b72756b57703ebe,6.5818330000000005,6.296513,8.60633,7.0471080000000015,2,403,13,3,34388,28986,7538,6634,2803,206,3812,3004,257,4477,2.024497,0.7505950000000006,0.5656519111310596,0.5812934456714673,0.407508556735325,0.5235528305193291
12833,95b2565b72b94336be0bfac3a3b4240defb2de713e95149d1ca97c78b8b5cb21,7bb2b0d3b67292c48e2879ef48ca6f9577d515fdf4116ca05e32cf07cd8dbe55,6.5818330000000005,7.4052729999999976,8.832061999999997,12.844018,2,2,14,28,34388,2949,7538,1601,2803,206,3812,490,63,280,2.2502289999999983,5.438745000000001,0.5656519111310596,0.3952204042039184,0.3891334154764437,0.0
12835,cc550ba5a4ada01a9c00f3afd9ab1b6e84689e9126d3e86e698fc34a57766adf,ae479bc0b610fe2ffcdb4b92161e2c4c24070d43ceb6cd1e2d9dc6d60d27fdf4,8.421258,7.8173270000000015,10.273413,9.896992,69,0,1,0,20248,24596,7880,6646,3100,70,1055,2827,95,2442,1.852155,2.0796649999999985,0.42541038222470506,0.4628056654328022,0.27147845436776386,0.28889034033200395
12838,cc550ba5a4ada01a9c00f3afd9ab1b6e84689e9126d3e86e698fc34a57766adf,5adfcecc4420a342b5abaed7a096ba0eda550a46453edf09ca6fd464b007e0c6,8.421258,7.938478999999999,10.363842,11.895581,39,0,4,0,20248,23486,7880,8223,3100,70,1055,3128,106,2342,1.942584,3.957102000000001,0.42541038222470506,0.4662341277793348,0.2636087556130852,0.1277015368326595
12840,cc550ba5a4ada01a9c00f3afd9ab1b6e84689e9126d3e86e698fc34a57766adf,3d00a6ce7c0c49e7be3ff53420d34f9eff64ad7588392dea9b17c3a40c0d7ba5,8.421258,7.897603,11.697409,9.280234,25,0,6,0,20248,4783,7880,2494,3100,70,1055,467,29,245,3.2761510000000005,1.382631,0.42541038222470506,0.3853157027159905,0.14178945876332902,0.2493600097339765
12842,cc550ba5a4ada01a9c00f3afd9ab1b6e84689e9126d3e86e698fc34a57766adf,59b6d33d87b92c84124cf9e32ad435261ac4e0ff7224eebfd269f80ea393bb91,8.421258,4.82791,11.535405,10.10094,19,0,8,0,20248,21583,7880,4644,3100,70,1055,2608,120,877,3.1141470000000013,5.273029999999999,0.42541038222470506,0.6780651907702925,0.15731364436448805,0.2353845483987899
12844,cc550ba5a4ada01a9c00f3afd9ab1b6e84689e9126d3e86e698fc34a57766adf,18e283ed8ab781bf35a70617547a62ad32c7909d019f0579653f8bf1ac19e48f,8.421258,7.413964,11.692689999999999,9.332765,14,0,10,0,20248,19787,7880,4810,3100,70,1055,2537,82,1183,3.271431999999999,1.9188009999999998,0.42541038222470506,0.4754781823914349,0.14224544854294804,0.31001427195448056
12845,cc550ba5a4ada01a9c00f3afd9ab1b6e84689e9126d3e86e698fc34a57766adf,3cda36872bd9dcef9a40fbe1afffd6ddf2489190a06914c0f099ea347f7ed197,8.421258,8.007155000000001,11.873985000000001,9.179044000000001,12,0,11,0,20248,11984,7880,4863,3100,70,1055,1975,45,800,3.452727000000001,1.1718890000000002,0.42541038222470506,0.4265885695490475,0.12454622152877284,0.324789379334286
12846,cc550ba5a4ada01a9c00f3afd9ab1b6e84689e9126d3e86e698fc34a57766adf,dbb5771534b4e35e065e29f3547e114afce730e7ae1e7295cfaeba32ec56f322,8.421258,7.522757,9.855921,9.374541,12,0,12,0,20248,12099,7880,3726,3100,70,1055,927,58,561,1.4346630000000005,1.8517840000000003,0.42541038222470506,0.44954036697316935,0.30732371916583473,0.28212100625121944
12847,cc550ba5a4ada01a9c00f3afd9ab1b6e84689e9126d3e86e698fc34a57766adf,75d85e0483de471adbdd45e0c05a4e283071f6b00d66be6081d02602a7f53f55,8.421258,7.219853,10.698883,8.592827999999999,11,0,13,0,20248,5048,7880,1902,3100,70,1055,662,29,433,2.2776250000000005,1.3729749999999994,0.42541038222470506,0.4275866960890213,0.2340876551982182,0.2909994138555889
12849,cc550ba5a4ada01a9c00f3afd9ab1b6e84689e9126d3e86e698fc34a57766adf,546a0931852430737ffef20e4fe32e9f6c2ac99bde003c8b3dd5cac5ed63cee9,8.421258,7.327192,8.889078999999997,9.959086,6,0,15,0,20248,3201,7880,1628,3100,70,1055,475,56,218,0.4678209999999989,2.631893999999999,0.42541038222470506,0.4044132785116059,0.3876761501991285,0.11459958590200528
12850,53d1a5a2c6836e5044c45d970ef5682a4dedd5454d1b6801695c4c212d1ec49d,8dc029777c65fe4380e9b45b95cb46b5d741c658d8e8d412ad5ffff5ce5e3bfa,6.501494,6.631048,11.101753,6.966181,105,0,1,0,21485,39290,3679,5827,2690,74,605,2899,166,1557,4.6002589999999985,0.3351329999999999,0.5352288146701879,0.5492541940206845,0.10315841572301904,0.522900830307447
12851,53d1a5a2c6836e5044c45d970ef5682a4dedd5454d1b6801695c4c212d1ec49d,7c7d54a47db2930b4f4f3a2f72646a0b9ea5357141cb083ac0f48bc5efc55183,6.501494,6.479392,7.832694,6.863064,12,0,2,0,21485,21624,3679,3814,2690,74,605,2384,134,1054,1.3312,0.3836719999999998,0.5352288146701879,0.5390493753794079,0.42164172517599335,0.5071569033494298
12853,53d1a5a2c6836e5044c45d970ef5682a4dedd5454d1b6801695c4c212d1ec49d,5c21db93e96ac9d60a584a4dda56f05601237f46246b3013a7474a106399b132,6.501494,6.038993,11.156436,6.680522,5,0,4,0,21485,2309,3679,760,2690,74,605,150,19,117,4.654941999999999,0.6415290000000002,0.5352288146701879,0.4731291257458063,0.09685464516442348,0.40346945536741496
12855,53d1a5a2c6836e5044c45d970ef5682a4dedd5454d1b6801695c4c212d1ec49d,e8205e816d67d129a2b186ebdd6944e24a0c4ba27d6c5c7532cd0f5612fcc6c1,6.501494,6.383964,6.796995,7.920381,4,0,6,0,21485,10222,3679,2406,2690,74,605,1036,64,442,0.2955009999999998,1.536417,0.5352288146701879,0.520542406769807,0.5105563047082693,0.3801320690394366
12856,53d1a5a2c6836e5044c45d970ef5682a4dedd5454d1b6801695c4c212d1ec49d,007fd53989f978bc8aa2aa82ceb7d92d10d4518836aa9e3efbecba87d870baa1,6.501494,6.6906820000000025,7.2954399999999975,7.562424000000001,3,0,7,0,21485,24538,3679,4599,2690,74,605,2529,199,1066,0.7939459999999992,0.8717420000000002,0.5352288146701879,0.5320339554813156,0.4682561467478584,0.4602531328344133
12859,53d1a5a2c6836e5044c45d970ef5682a4dedd5454d1b6801695c4c212d1ec49d,670839c3660af13aa77d7e22f8f354cd34f0335d0a201bd2385f14d2f1fb1817,6.501494,6.4334489999999995,7.311444,8.749618,2,0,10,0,21485,27331,3679,5065,2690,74,605,2715,1100,1929,0.8099499999999997,2.3161690000000004,0.5352288146701879,0.5576916418706755,0.4668832724463022,0.3659979423864753
12861,53d1a5a2c6836e5044c45d970ef5682a4dedd5454d1b6801695c4c212d1ec49d,3b512c72d1d92e7660253af667dd826d1fa933d9df0aac4600203fd83bb7c4cb,6.501494,6.541695,7.638358,6.9990710000000025,1,0,12,0,21485,20860,3679,3974,2690,74,605,2006,116,612,1.136864,0.4573760000000009,0.5352288146701879,0.536176936271717,0.4386308569525072,0.4982374203808169
12862,53d1a5a2c6836e5044c45d970ef5682a4dedd5454d1b6801695c4c212d1ec49d,361607e0e1db28ecc5e66911728ad03a55d93f5c7c4677665e6dc7297a076779,6.501494,6.6867300000000025,11.376539999999999,7.220853999999999,1,0,13,0,21485,34775,3679,5607,2690,74,605,3020,1382,2694,4.875045999999998,0.5341239999999985,0.5352288146701879,0.5429084989993167,0.07061086503414024,0.5004435521611379
12864,53d1a5a2c6836e5044c45d970ef5682a4dedd5454d1b6801695c4c212d1ec49d,0d1503488190b9cdac067e515f237ace9aef4866d1512fc89d064ba57f6ab6a0,6.501494,6.6360509999999975,7.310612,7.56568,1,0,15,0,21485,419,3679,298,2690,74,605,39,10,14,0.8091179999999998,0.9296290000000011,0.5352288146701879,0.2993223192097328,0.466954667164555,0.1545893231709927
12865,42455195c6b503d6e5b0e84d4e8639f240c766ca6aaafddc53cd8c7386da4716,73d177872e4ed11617d211f75cb2184d8b8542ac347e53b8dfd88dbdf726a771,6.744052000000001,6.0826379999999975,7.953828999999999,8.000445,175,178,1,2,40370,28143,5902,5461,2950,119,1591,2737,259,2016,1.209776999999998,1.917807,0.5410679710028742,0.5887541352032636,0.4441616794756799,0.4351351415770796
12866,42455195c6b503d6e5b0e84d4e8639f240c766ca6aaafddc53cd8c7386da4716,1f3a32fd2413e4cfe28f4698b95da8516521646f139c6b75ca9f450c9e33a673,6.744052000000001,6.608372,8.310503,7.13001,138,71,2,4,40370,34918,5902,5615,2950,119,1591,2857,163,1093,1.5664509999999998,0.5216380000000003,0.5410679710028742,0.549142073945848,0.4147251637455256,0.507805886143235
12867,42455195c6b503d6e5b0e84d4e8639f240c766ca6aaafddc53cd8c7386da4716,72679f6f811849aed9005916294f34b3d40199f0de7fb1c1e27e8c4a0e3e61c8,6.744052000000001,6.568465,8.737502000000001,7.251133,106,48,3,6,40370,34770,5902,5836,2950,119,1591,2625,305,1390,1.99345,0.6826680000000005,0.5410679710028742,0.5542179761206867,0.3789101541897048,0.5003297351022501
12868,42455195c6b503d6e5b0e84d4e8639f240c766ca6aaafddc53cd8c7386da4716,35bff22d4a35fe42e4b5148c6521646c3c93f4d45bf479b1cf9626aec0e6f4b7,6.744052000000001,6.8377399999999975,9.158571,6.840116,61,58,4,1,40370,10268,5902,2781,2950,119,1591,646,50,278,2.4145189999999994,0.002376000000000822,0.5410679710028742,0.4897201558625148,0.3429275377812696,0.4895113856773611
12869,42455195c6b503d6e5b0e84d4e8639f240c766ca6aaafddc53cd8c7386da4716,66b693e833a8b2c086a67b4d91f0e850a9754370a24f83f6aa4047c5f37f775d,6.744052000000001,6.84998,6.924725,8.417942,49,62,5,3,40370,24965,5902,5221,2950,119,1591,2028,92,597,0.18067299999999875,1.5679619999999996,0.5410679710028742,0.526151191043594,0.5268675572001117,0.3968447679843939
12870,42455195c6b503d6e5b0e84d4e8639f240c766ca6aaafddc53cd8c7386da4716,21e2b550c59e3aa0f9baa93b3316446cdffafcd85fa17e2bb6876f1428784d7a,6.744052000000001,6.856658,7.360358,7.7686740000000025,39,43,6,3,40370,13312,5902,3691,2950,119,1591,1355,105,398,0.6163059999999989,0.9120160000000004,0.5410679710028742,0.5057344369038628,0.4922438170820914,0.4274904175282865
12871,42455195c6b503d6e5b0e84d4e8639f240c766ca6aaafddc53cd8c7386da4716,5129770f06d948d7cda7e01a36fe2fcb42bfe424649a4dfd8592623854617235,6.744052000000001,7.008253,9.866455,7.383872,38,73,7,2,40370,6148,5902,2256,2950,119,1591,701,37,373,3.122403,0.3756190000000004,0.5410679710028742,0.4601959787482775,0.2807389129903012,0.425440064602063
12873,42455195c6b503d6e5b0e84d4e8639f240c766ca6aaafddc53cd8c7386da4716,5774190bef1a200791ed4f8c0a35d9e2b99a6e97ab85a2cadbf962ae92e33717,6.744052000000001,7.2712460000000005,9.1282,8.04072,32,5,9,25,40370,7521,5902,2882,2950,119,1591,756,241,603,2.3841479999999997,0.7694739999999998,0.5410679710028742,0.4537741859045093,0.34554641179094314,0.38394340663806337
