,r,Hx,CHx,CHxA,PiEgoGalters,PiEgoGaltersAndEgo
160,11,13.05447,7.411948,6.607551,0.4655578619324454,0.5325990834794009
161,12,11.003947,7.394169,6.602023,0.4670633881387647,0.5330524370857013
162,13,15.525907,7.394169,6.602023,0.4670633881387647,0.5330524370857013
163,14,13.522186,7.38894,6.599513,0.4675059683996195,0.5332582509988771
164,15,14.158779,7.387757,6.598608,0.4676060836739003,0.5333324538664541
165,1,7.730808,7.730808,6.860692,0.4025015522373706,0.48178267456990664
166,2,6.942861,6.542216,6.622426,0.5099977099943722,0.5029298057717911
167,3,7.313033,6.099873,6.356808,0.5485282284965878,0.526239069768326
168,4,12.916139,6.556829,6.333188,0.5087119397061295,0.5282985883561239
169,5,12.725368,6.56175,6.293636,0.5082787611010194,0.531742494984184
170,6,5.484485,6.547074,6.287581,0.5095703569120842,0.5322691938654842
171,7,6.276128,6.514145,6.274676,0.5124652719489535,0.5333912790078251
172,8,7.417922,6.328503,6.195061,0.5287068372644794,0.5402997859727812
173,9,8.085161,6.232019,6.021415,0.5370957829282335,0.555284970138537
174,10,13.260172,6.211727,5.994905,0.5388555985970205,0.5575628169318197
175,11,11.360412,6.22283,5.975825,0.5378928884542122,0.5592006367907868
176,12,7.905492,6.113043,5.817762,0.5473917865096148,0.5727171453001587
177,13,6.423136,6.029221,5.750577,0.5546137499826809,0.5784346841588663
178,14,6.843384,5.995745,5.730997,0.5574906806856702,0.5800978822392212
179,15,7.049786,5.929168,5.675231,0.5631999901600627,0.5848272435595793
180,1,6.899882,6.899882,6.176515,0.5076021871620711,0.5669046916440839
181,2,7.597766,6.737226,6.115964,0.5210837406297444,0.5717937197190486
182,3,8.887176,6.550743,6.038073,0.536434108446482,0.578066160954871
183,4,8.895795,6.447091,5.984578,0.5449179776150426,0.5823632177504673
184,5,8.283584,6.331056,5.918255,0.5543749867689662,0.5876785254515965
185,6,9.00429,6.303448,5.903827,0.5566188342442743,0.5888330447465147
186,7,8.394828,6.232083,5.862614,0.5624079898120354,0.5921273864977726
187,8,10.361408,6.20946,5.848754,0.5642398588017994,0.593234116819036
188,9,6.881765,6.044098,5.757211,0.5775816440105216,0.6005292325663149
189,10,7.019282,5.950726,5.690966,0.5850778913585145,0.6057925053966734
190,11,8.447711,5.942405,5.685299,0.5857446354680604,0.606242142135029
191,12,9.200152,5.901325,5.661108,0.5890331885546641,0.6081604389004502
192,13,9.184113,5.885761,5.649906,0.5902777791060286,0.609048136842881
193,14,8.328102,5.860743,5.632555,0.592276821234815,0.6104223634470679
194,15,7.179011,5.851392,5.624747,0.593023515778515,0.6110404735904501
195,1,7.501954,7.501954,6.376452,0.48135801573380516,0.5700686402848618
196,2,6.808873,6.589868,6.108277,0.5535207892438998,0.5906873306607231
197,3,6.822052,6.441738,6.046333,0.5650196924063277,0.59542247070475
198,4,6.69339,6.335226,5.991651,0.5732509276463085,0.5995939834010716
199,5,7.521362,6.326998,5.988815,0.5738855064058217,0.599810115528247
200,6,7.752126,6.285814,5.97541,0.577059042850136,0.6008314237541191
201,7,6.760269,6.101997,5.865987,0.591167855014611,0.6091503665405804
202,8,6.847522,5.951415,5.772647,0.6026583765866954,0.6162215318318701
203,9,6.648395,5.850103,5.702713,0.6103553185026772,0.6215044541815822
204,10,6.731602,5.837699,5.693816,0.611295815237628,0.6221756230447224
205,11,8.766525,5.813543,5.67711,0.6131262049702296,0.6234353214288992
206,12,7.82686,5.766953,5.644878,0.6166521477483476,0.6258636656986843
207,13,6.410572,5.753003,5.634688,0.6177067725060316,0.6266308070711587
208,14,8.198438,5.730537,5.617995,0.6194041308159295,0.6278869286380613
